epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.447,1.9218,0.93862,0.93175,0.7717,0.69667,0.74561,0.36369,1.66489,0.75192,0.88248,0.000554924,0.000554924,0.000554924
2,248.687,1.71122,0.74435,0.87864,0.62986,0.63687,0.63238,0.27262,1.91679,0.79184,0.90829,0.0010886,0.0010886,0.0010886
3,363.299,1.64425,0.71616,0.86684,0.7415,0.77085,0.78643,0.39321,1.72233,0.71904,0.88062,0.00160027,0.00160027,0.00160027
4,479.45,1.58774,0.68796,0.86279,0.82348,0.79125,0.83196,0.42876,1.56782,0.64692,0.86321,0.00156798,0.00156798,0.00156798
5,597.033,1.5364,0.66344,0.85673,0.87094,0.78698,0.85183,0.47684,1.54158,0.64118,0.85901,0.00153497,0.00153497,0.00153497
6,714.832,1.5185,0.64842,0.85469,0.82655,0.80858,0.86004,0.43152,1.72747,0.70657,0.87416,0.00150197,0.00150197,0.00150197
7,827.58,1.49892,0.64697,0.85245,0.82214,0.80761,0.84805,0.47463,1.45665,0.66076,0.85151,0.00146896,0.00146896,0.00146896
8,941.051,1.44857,0.62486,0.84498,0.84764,0.81587,0.8512,0.48729,1.51996,0.62724,0.85525,0.00143595,0.00143595,0.00143595
9,1057.92,1.43908,0.61453,0.84144,0.89302,0.83339,0.88497,0.54322,1.35713,0.57528,0.84066,0.00140295,0.00140295,0.00140295
10,1172.56,1.4015,0.60068,0.83943,0.85454,0.82366,0.87628,0.51655,1.4465,0.59372,0.84985,0.00136994,0.00136994,0.00136994
11,1283.99,1.40474,0.6055,0.84139,0.85746,0.82778,0.8851,0.52546,1.36189,0.57977,0.84196,0.00133693,0.00133693,0.00133693
12,1396.89,1.38808,0.59524,0.83984,0.85877,0.83529,0.89128,0.53432,1.31918,0.56614,0.83652,0.00130393,0.00130393,0.00130393
13,1508.09,1.36182,0.58675,0.83854,0.86957,0.81598,0.88293,0.51562,1.39194,0.5851,0.84321,0.00127092,0.00127092,0.00127092
14,1621.18,1.36751,0.58395,0.83517,0.89034,0.83223,0.90656,0.55213,1.3308,0.5619,0.83723,0.00123791,0.00123791,0.00123791
15,1736.08,1.34631,0.57493,0.83525,0.86636,0.8329,0.88889,0.5366,1.41402,0.58391,0.84622,0.00120491,0.00120491,0.00120491
16,1847.73,1.31627,0.5629,0.83213,0.87476,0.84265,0.8929,0.54783,1.36206,0.55639,0.83936,0.0011719,0.0011719,0.0011719
17,1960.03,1.29715,0.55598,0.83175,0.90385,0.85781,0.91154,0.58238,1.28341,0.53554,0.83289,0.00113889,0.00113889,0.00113889
18,2076.31,1.2872,0.54989,0.83015,0.907,0.83846,0.90651,0.55221,1.38926,0.55979,0.84249,0.00110589,0.00110589,0.00110589
19,2188.48,1.30268,0.55594,0.82883,0.91609,0.83728,0.9154,0.57741,1.28027,0.53273,0.83286,0.00107288,0.00107288,0.00107288
20,2300.26,1.26911,0.54185,0.82826,0.9084,0.85108,0.91405,0.59062,1.23934,0.52428,0.82793,0.00103987,0.00103987,0.00103987
21,2414.5,1.26992,0.54283,0.82722,0.91229,0.861,0.92482,0.57273,1.3213,0.54357,0.83753,0.00100687,0.00100687,0.00100687
22,2529.19,1.25725,0.53354,0.82676,0.88143,0.89016,0.92485,0.5994,1.24151,0.51114,0.82921,0.000973861,0.000973861,0.000973861
